city_ascii,lat,lng,country
Hefei,31.8639,117.2808,China
Hong Kong,22.3069,114.1831,Hong Kong
Shaoyang,27.2418,111.4725,China
Zhanjiang,21.1967,110.4031,China
Shangqiu,34.4259,115.6467,China
Nantong,31.9829,120.8873,China
Yancheng,33.3936,120.1339,China
Nanning,22.8192,108.3150,China
Hengyang,26.8968,112.5857,China
Zhumadian,32.9773,114.0253,China
Shenyang,41.8039,123.4258,China
Xingtai,37.0659,114.4753,China
Xi'an,34.2667,108.9000,China
Santiago,-33.4500,-70.6667,Chile
Yantai,37.3997,121.2664,China
Riyadh,24.6500,46.7100,Saudi Arabia
Luoyang,34.6587,112.4245,China
Kunming,25.0433,102.7061,China
Shangrao,28.4419,117.9633,China
Hangzhou,30.2500,120.1675,China
Bijie,27.3019,105.2863,China
Quanzhou,24.9139,118.5858,China
Miami,25.7839,-80.2102,United States
Wuxi,31.5667,120.2833,China
Huanggang,30.4500,114.8750,China
Maoming,21.6618,110.9178,China
Nanchong,30.7991,106.0784,China
Zunyi,27.7050,106.9336,China
Qujing,25.5102,103.8029,China
Baghdad,33.3500,44.4167,Iraq
Xinyang,32.1264,114.0672,China
Jieyang,23.5533,116.3649,China
Khartoum,15.6031,32.5265,Sudan
Madrid,40.4167,-3.7167,Spain
Allahabad,25.4500,81.8500,India
Yulin,22.6293,110.1507,China
Changde,29.0397,111.6839,China
Liaocheng,36.4500,115.9833,China
Qingdao,36.1167,120.4000,China
Dallas,32.7936,-96.7662,United States
Nangandao,35.2992,113.8851,China
Xiangyang,32.0654,112.1531,China
Philadelphia,40.0077,-75.1339,United States
Giza,29.9870,31.2118,Egypt
Lu'an,31.7542,116.5078,China
Zhaotong,27.3328,103.7144,China
Yichun,27.8041,114.3830,China
Dezhou,37.4513,116.3105,China
Nairobi,-1.2864,36.8172,Kenya
Nanchang,28.6842,115.8872,China
Tai'an,36.2001,117.0809,China
Dazhou,31.2152,107.4947,China
Houston,29.7863,-95.3889,United States
Guadalajara,20.6767,-103.3475,Mexico
Yongzhou,26.4515,111.5953,China
Atlanta,33.7627,-84.4224,United States
Rangoon,16.7950,96.1600,Myanmar
Toronto,43.7417,-79.3733,Canada
Suihua,46.6384,126.9808,China
Saint Petersburg,59.9500,30.3167,Russia
Washington,38.9047,-77.0163,United States
Qiqihar,47.3398,123.9512,China
Suzhou,33.6333,116.9683,China
Shantou,23.3735,116.6941,China
Weinan,34.4996,109.4684,China
Changzhou,31.8122,119.9692,China
Singapore,1.3000,103.8000,Singapore
Fuzhou,26.0769,119.2917,China
Pudong,31.2231,121.5397,China
Belo Horizonte,-19.9281,-43.9419,Brazil
Zhangzhou,24.5093,117.6612,China
Yuncheng,35.0304,110.9980,China
Suzhou,31.3040,120.6164,China
Xianyang,34.3500,108.7167,China
Guilin,25.2667,110.2833,China
Taizhou,32.4831,119.9000,China
Abidjan,5.3364,-4.0267,Côte d'Ivoire
Huaihua,27.5494,109.9592,China
Ji'an,27.1172,114.9793,China
Xiaoganzhan,30.9273,113.9110,China
Pingdingshan,33.7350,113.2999,China
Jiujiang,29.7048,116.0021,China
Surat,21.1700,72.8300,India
Guiyang,26.5794,106.7078,China
Alexandria,31.2000,29.9167,Egypt
Bozhou,33.8626,115.7742,China
Sydney,-33.8650,151.2094,Australia
Huizhou,23.1115,114.4152,China
Huai'an,33.5000,119.1331,China
Chenzhou,25.7989,113.0267,China
Barcelona,41.3825,2.1769,Spain
Anqing,30.5000,117.0333,China
Suqian,33.9331,118.2831,China
Boston,42.3188,-71.0846,United States
Jiangmen,22.5833,113.0833,China
Mianyang,31.4669,104.7385,China
Harbin,45.7500,126.6333,China
Huanglongsi,34.7936,114.3403,China
Melbourne,-37.8136,144.9631,Australia
Zibo,36.7831,118.0497,China
Dalian,38.9000,121.6000,China
Hengshui,37.7348,115.6860,China
Yibin,28.7596,104.6400,China
Yangzhou,32.3912,119.4363,China
Timbio,2.3528,-76.6819,Colombia
Johannesburg,-26.2044,28.0416,South Africa
Yiyang,28.5833,112.3333,China
Guigang,23.0961,109.6092,China
Xinpu,34.5906,119.1801,China
Meizhou,24.2998,116.1191,China
Casablanca,33.5992,-7.6200,Morocco
Langfang,39.5196,116.7006,China
Zhangjiakou,40.8108,114.8811,China
Chifeng,42.2663,118.9223,China
Linfen,36.0812,111.5087,China
Jiangguanchi,34.0244,113.8201,China
Kabul,34.5328,69.1658,Afghanistan
Phoenix,33.5722,-112.0891,United States
Luzhou,28.8918,105.4409,China
Taiyuan,37.8733,112.5425,China
Zhaoqing,23.0500,112.4667,China
Xiaoxita,30.7083,111.2803,China
Xiamen,24.4797,118.0819,China
Fuzhou,27.9814,116.3577,China
Liuzhou,24.3264,109.4281,China
Zhuzhou,27.8407,113.1469,China
Amman,31.9500,35.9333,Jordan
Jeddah,21.5428,39.1728,Saudi Arabia
Chuzhou,32.3062,118.3115,China
Loudi,27.7378,111.9974,China
Deyang,31.1289,104.3950,China
Qingyuan,23.6842,113.0507,China
Kano,12.0000,8.5167,Nigeria
Wuhu,31.3340,118.3622,China
Seattle,47.6211,-122.3244,United States
Yokohama,35.4333,139.6333,Japan
Binzhou,37.3806,118.0125,China
Baojishi,34.3609,107.1751,China
Zaozhuang,34.8667,117.5500,China
Neijiang,29.5872,105.0635,China
Baicheng,23.9010,106.6194,China
Berlin,52.5167,13.3833,Germany
Anshan,41.1066,122.9895,China
Lanzhou,36.0617,103.8318,China
Puyang,35.7639,115.0300,China
San Francisco,37.7562,-122.4430,United States
Jiaozuo,35.2290,113.2304,China
Hechi,24.6928,108.0850,China
Montreal,45.5089,-73.5617,Canada
Detroit,42.3834,-83.1024,United States
Chengde,40.9739,117.9322,China
Busan,35.1000,129.0403,South Korea
Algiers,36.7764,3.0586,Algeria
Hanzhong,33.0794,107.0260,China
Shiyan,32.6351,110.7755,China
Lucknow,26.8470,80.9470,India
Siping,43.1715,124.3644,China
Yulinshi,38.2655,109.7388,China
Changzhi,36.1953,113.0970,China
Qinzhou,21.9500,108.6167,China
Bazhou,31.8576,106.7559,China
Qincheng,34.5809,105.7311,China
Zhongshan,22.5333,113.3500,China
Suining,30.5098,105.5737,China
Leshan,29.5854,103.7575,China
San Diego,32.8312,-117.1225,United States
Faisalabad,31.4180,73.0790,Pakistan
Guang'an,30.4673,106.6336,China
Tongren,27.7233,109.1885,China
Bengbu,32.9354,117.3531,China
Santa Cruz,-17.7892,-63.1975,Bolivia
Qinhuangdao,39.9398,119.5881,China
Tongliao,43.6172,122.2640,China
Jinzhou,41.1144,121.1292,China
Zhenjiang,32.2109,119.4551,China
Urumqi,43.8225,87.6125,China
Heyuan,23.7503,114.6923,China
Jaipur,26.9167,75.8667,India
Xinzhou,38.4178,112.7233,China
Wuzhou,23.4833,111.3167,China
Addis Ababa,9.0272,38.7369,Ethiopia
Chaoyang,41.5757,120.4486,China
Brasilia,-15.7939,-47.8828,Brazil
Mashhad,36.3069,59.6042,Iran
Shaoguan,24.8011,113.5927,China
Kuwait City,29.3750,47.9800,Kuwait
Shanwei,22.7664,115.3331,China
Quezon City,14.6333,121.0333,Philippines
Minneapolis,44.9635,-93.2678,United States
Kyiv,50.4500,30.5236,Ukraine
Sanaa,15.3500,44.2000,Yemen
Meishan,30.0575,103.8381,China
Guatemala City,14.6099,-90.5252,Guatemala
Incheon,37.4639,126.6486,South Korea
Ningde,26.6617,119.5228,China
Tampa,27.9942,-82.4451,United States
Daqing,46.5979,125.0080,China
Putian,25.4394,119.0103,China
Bandung,-6.9500,107.5667,Indonesia
Surabaya,-7.2458,112.7378,Indonesia
Salvador,-12.9708,-38.5108,Brazil
Denver,39.7621,-104.8759,United States
Rome,41.8931,12.4828,Italy
La Paz,-16.4942,-68.1475,Bolivia
Hohhot,40.8151,111.6629,China
Xiangtan,27.8431,112.9228,China
Pyongyang,39.0300,125.7300,North Korea
Taichung,24.1500,120.6667,Taiwan
Weihai,37.5000,122.1000,China
Rizhao,35.4164,119.4331,China
Mudanjiang,44.5861,129.5997,China
Kaohsiung,22.6167,120.3000,Taiwan
Guayaquil,-2.1900,-79.8875,Ecuador
Tieling,42.2841,123.8365,China
Cawnpore,26.4725,80.3311,India
Dingxi,35.5806,104.6263,China
Taipei,25.0478,121.5319,Taiwan
Nanping,26.6448,118.1728,China
Zigong,29.3498,104.7645,China
Chaozhou,23.6700,116.6300,China
Baotou,40.6562,109.8345,China
Gulou,26.0819,119.2981,China
Longyan,25.0881,117.0244,China
Ankang,32.6877,109.0235,China
Baoshan,25.1211,99.1690,China
Huludao,40.7094,120.8378,China
Antananarivo,-18.9386,47.5214,Madagascar
Yanjiang,30.1256,104.6397,China
Chattogram,22.3350,91.8325,Bangladesh
Santo Domingo,18.4764,-69.8933,Dominican Republic
Sanming,26.2658,117.6302,China
Longba,33.5350,105.3490,China
Brooklyn,40.6501,-73.9496,United States
Yangjiang,21.8556,111.9627,China
Jiamusi,46.8081,130.3653,China
Ibadan,7.3964,3.9167,Nigeria
Luohe,33.5830,114.0109,China
Lincang,23.8864,100.0871,China
Medellin,6.2447,-75.5748,Colombia
Xuanzhou,30.9475,118.7518,China
Yunfu,22.9242,112.0353,China
Dubai,25.2697,55.3094,United Arab Emirates
Mirzapur,25.1500,82.5800,India
Tashkent,41.3000,69.2667,Uzbekistan
Guangyuan,32.4353,105.8398,China
Cali,3.4400,-76.5197,Colombia
Huangshi,30.2018,115.0326,China
Ouagadougou,12.3686,-1.5275,Burkina Faso
Daegu,35.8667,128.6000,South Korea
Fortaleza,-3.7275,-38.5275,Brazil
Yaounde,3.8578,11.5181,Cameroon
Douala,4.0500,9.7000,Cameroon
Jilin,43.8519,126.5481,China
Dandong,40.1167,124.3833,China
Lianshan,40.7523,120.8280,China
Yingkou,40.6653,122.2297,China
Nagpur,21.1539,79.0831,India
Omdurman,15.6167,32.4800,Sudan
Bekasi,-6.2333,107.0000,Indonesia
Ghaziabad,28.6667,77.4167,India
Yuxi,24.3495,102.5432,China
Brisbane,-27.4678,153.0281,Australia
Anshun,26.2456,105.9340,China
Depok,-6.3940,106.8225,Indonesia
Shangzhou,33.8680,109.9244,China
Huainan,32.4831,117.0164,China
Kuaidamao,41.7302,125.9471,China
Accra,5.6037,-0.1870,Ghana
Fukuoka,33.6000,130.4167,Japan
Jincheng,35.4906,112.8483,China
Vancouver,49.2500,-123.1000,Canada
Tangerang,-6.1783,106.6319,Indonesia
Sanmenxia,34.7736,111.1950,China
Laibin,23.7333,109.2333,China
Queens,40.7498,-73.7976,United States
Qinbaling,35.7278,107.6400,China
Xining,36.6239,101.7787,China
Ma'anshan,31.6858,118.5101,China
Yan'an,36.5952,109.4863,China
Baku,40.3667,49.8352,Azerbaijan
Gaoping,30.7824,106.1281,China
Harare,-17.8292,31.0522,Zimbabwe
Havana,23.1367,-82.3589,Cuba
Phnom Penh,11.5696,104.9210,Cambodia
Ningbo,29.8750,121.5492,China
Mogadishu,2.0408,45.3425,Somalia
Puning,23.2993,116.1586,China
Medan,3.6667,98.6667,Indonesia
Huaibei,33.9562,116.7890,China
Qingyang,24.8141,118.5792,China
Riverside,33.9381,-117.3948,United States
Baltimore,39.3051,-76.6144,United States
Haiphong,20.8000,106.6667,Vietnam
Las Vegas,36.2333,-115.2654,United States
Chongzuo,22.4167,107.3667,China
Rawalpindi,33.6007,73.0679,Pakistan
Kumasi,6.6833,-1.6167,Ghana
Portland,45.5372,-122.6500,United States
Vadodara,22.3000,73.2000,India
Hezhou,24.4164,111.5478,China
Pingliang,35.5412,106.6819,China
San Antonio,29.4658,-98.5253,United States
Perth,-31.9522,115.8589,Australia
Vishakhapatnam,17.7333,83.3167,India
Shengli,37.4500,118.4667,China
Gujranwala,32.1500,74.1833,Pakistan
Baicheng,45.6148,122.8320,China
Fushun,41.8708,123.8917,China
St. Louis,38.6358,-90.2451,United States
Bamako,12.6458,-7.9922,Mali
Quito,-0.2200,-78.5125,Ecuador
Minsk,53.9022,27.5618,Belarus
Indore,22.7206,75.8472,India
Yinchuan,38.4795,106.2254,China
Kananga,-5.8961,22.4167,Congo (Kinshasa)
Peshawar,34.0000,71.5000,Pakistan
Sapporo,43.0621,141.3544,Japan
Esfahan,32.6447,51.6675,Iran
Caracas,10.5000,-66.9333,Venezuela
Pingxiang,27.6333,113.8500,China
Aleppo,36.2000,37.1500,Syria
Tijuana,32.5250,-117.0333,Mexico
Almaty,43.2500,76.9000,Kazakhstan
Vienna,48.2083,16.3725,Austria
Thane,19.1800,72.9633,India
Sacramento,38.5667,-121.4683,United States
Blantyre,-15.7861,35.0058,Malawi
Tainan,22.9833,120.1833,Taiwan
Zhuhai,22.2769,113.5678,China
Bucharest,44.4000,26.0833,Romania
Curitiba,-25.4297,-49.2719,Brazil
Multan,30.1978,71.4711,Pakistan
Xiping,40.0820,113.2981,China
Ecatepec,19.6097,-99.0600,Mexico
Jixi,45.2937,130.9650,China
Saidu Sharif,34.7500,72.3572,Pakistan
Liaoyang,41.2643,123.1772,China
Hamburg,53.5500,10.0000,Germany
Meru,0.0500,37.6500,Kenya
Brazzaville,-4.2667,15.2833,Congo (Brazzaville)
Orlando,28.4772,-81.3369,United States
Fuxin,42.0127,121.6486,China
Wuwei,37.9278,102.6329,China
Manaus,-3.1000,-60.0167,Brazil
Bhopal,23.2500,77.4167,India
San Jose,37.3019,-121.8486,United States
Warsaw,52.2300,21.0111,Poland
Lubumbashi,-11.6697,27.4581,Congo (Kinshasa)
Davao,7.0667,125.6000,Philippines
Haikou,20.0200,110.3200,China
Damascus,33.5131,36.2919,Syria
Shuyangzha,34.1299,118.7734,China
Brussels,50.8353,4.3314,Belgium
Lusaka,-15.4167,28.2833,Zambia
Hyderabad City,25.3792,68.3683,Pakistan
Budapest,47.4983,19.0408,Hungary
Shuozhou,39.3408,112.4292,China
Cleveland,41.4767,-81.6804,United States
Benxi,41.2920,123.7610,China
Baiyin,36.5448,104.1766,China
Pittsburgh,40.4396,-79.9762,United States
Patna,25.6100,85.1414,India
Mosul,36.3667,43.1167,Iraq
Caloocan City,14.6500,120.9667,Philippines
Austin,30.3004,-97.7522,United States
Sanzhou,30.8200,108.4000,China
Beihai,21.4667,109.1000,China
Mecca,21.4225,39.8261,Saudi Arabia
Heihe,50.2458,127.4886,China
Jingdezhen,29.2942,117.2036,China
Conakry,9.5380,-13.6773,Guinea
Kampala,0.3136,32.5811,Uganda
Cincinnati,39.1413,-84.5061,United States
Recife,-8.0539,-34.8808,Brazil
Yushan,31.3867,120.9766,China
Zhongli,24.9650,121.2168,Taiwan
Kansas City,39.1239,-94.5541,United States
Manhattan,40.7834,-73.9662,United States
Bilaspur,22.1500,82.0167,India
Semarang,-6.9667,110.4167,Indonesia
Ludhiana,30.9083,75.8486,India
Novosibirsk,55.0333,82.9167,Russia
Chengtangcun,35.0833,117.1500,China
Agra,27.1724,78.0131,India
Karaj,35.8327,50.9915,Iran
Wenzhou,27.9991,120.6561,China
Indianapolis,39.7771,-86.1458,United States
Leon de los Aldama,21.1167,-101.6833,Mexico
Puebla,19.0333,-98.1833,Mexico
Kalyan,19.2502,73.1602,India
Madurai,9.9197,78.1194,India
Mbuji-Mayi,-6.1209,23.5967,Congo (Kinshasa)
Hebi,35.7497,114.2887,China
Shiraz,29.6100,52.5425,Iran
Jamshedpur,22.8000,86.1833,India
Columbus,39.9862,-82.9850,United States
Tabriz,38.0833,46.2833,Iran
Maracaibo,10.6333,-71.6333,Venezuela
Kawasaki,35.5167,139.7000,Japan
Aba,5.1167,7.3667,Nigeria
Palembang,-2.9833,104.7644,Indonesia
Zhangjiajie,29.1255,110.4844,China
Kobe,34.6913,135.1830,Japan
Charlotte,35.2080,-80.8304,United States
Changshu,31.6500,120.7333,China
Lianjiang,21.6146,110.2794,China
Ximeicun,24.9633,118.3811,China
Jianguang,28.1958,115.7833,China
Yucheng,29.9888,103.0007,China
Belem,-1.4558,-48.5039,Brazil
Guiping,23.4000,110.0833,China
Leizhou,20.9147,110.0806,China
Gwangju,35.1667,126.9167,South Korea
Munich,48.1375,11.5750,Germany
Nasik,20.0000,73.7833,India
Porto Alegre,-30.0328,-51.2300,Brazil
Valencia,10.1667,-68.0000,Venezuela
Onitsha,6.1667,6.7833,Nigeria
Abu Dhabi,24.4511,54.3969,United Arab Emirates
Virginia Beach,36.7335,-76.0435,United States
Daejeon,36.3510,127.3850,South Korea
Zapopan,20.7167,-103.4000,Mexico
Yekaterinburg,56.8356,60.6128,Russia
Huazhou,32.6832,112.0790,China
Kyoto,35.0117,135.7683,Japan
Shuangyashan,46.6388,131.1545,China
Pizhou,34.3422,118.0097,China
El Kelaa des Srarhna,32.0500,-7.4000,Morocco
Kharkiv,50.0000,36.2292,Ukraine
Yangshe,31.8775,120.5512,China
Guyuan,36.0080,106.2782,China
Khulna,22.8167,89.5500,Bangladesh
Muscat,23.6139,58.5922,Oman
Bronx,40.8501,-73.8662,United States
Gaozhou,21.9135,110.8481,China
Chizhou,30.6583,117.4849,China
Faridabad,28.4353,77.3147,India
Ulaanbaatar,47.9214,106.9055,Mongolia
Goiania,-16.6806,-49.2564,Brazil
Fuqing,25.7232,119.3735,China
Belgrade,44.8167,20.4667,Serbia
Pingdu,36.7833,119.9556,China
Milan,45.4669,9.1900,Italy
Aurangabad,19.8800,75.3200,India
Yutan,28.3147,112.5540,China
Milwaukee,43.0642,-87.9673,United States
Huangshan,29.7132,118.3151,China
Auckland,-36.8500,174.7833,New Zealand
Makassar,-5.1331,119.4136,Indonesia
Santiago,19.4500,-70.7000,Dominican Republic
Prague,50.0833,14.4167,Czechia
Rajkot,22.2969,70.7984,India
Liangshi,27.2578,111.7351,China
Cordoba,-31.4167,-64.1833,Argentina
Guarulhos,-23.4667,-46.5333,Brazil
Al Basrah,30.5150,47.8100,Iraq
Saitama,35.8617,139.6453,Japan
Juarez,31.7386,-106.4870,Mexico
Montevideo,-34.8667,-56.1667,Uruguay
Xintai,35.9100,117.7800,China
Wusong,30.9333,117.7667,China
Meerut,28.9900,77.7000,India
Yushu,44.8249,126.5451,China
Rongcheng,26.2312,104.0966,China
Huazhou,21.6540,110.6294,China
Yangquan,37.8576,113.5762,China
Adelaide,-34.9275,138.6000,Australia
Baishan,41.9377,126.4179,China
Dayan,26.8808,100.2208,China
Haicheng,40.8523,122.7474,China
Jiangyin,31.9087,120.2653,China
Huaiyin,33.5819,119.0280,China
Wuzhong,37.9874,106.1919,China
Cacuaco,-8.7833,13.3667,Angola
Barranquilla,10.9639,-74.7964,Colombia
Sofia,42.6979,23.3217,Bulgaria
Soweto,-26.2678,27.8586,South Africa
Jabalpur,23.1667,79.9333,India
Rucheng,32.3852,120.5634,China
Nizhniy Novgorod,56.3269,44.0075,Russia
Shaoyang,32.9387,119.8404,China
Dhanbad,23.7928,86.4350,India
Comayaguela,14.0833,-87.2167,Honduras
Laiwu,36.1833,117.6667,China
Sharjah,25.3575,55.3919,United Arab Emirates
Jingling,30.6667,113.1667,China
Kazan,55.7908,49.1144,Russia
Suwon,37.2858,127.0100,South Korea
Yongcheng,33.9317,116.4459,China
Calgary,51.0500,-114.0667,Canada
Can Tho,10.0333,105.7833,Vietnam
Abuja,9.0556,7.4914,Nigeria
Mandalay,21.9831,96.0844,Myanmar
Beidao,34.6020,105.9180,China
Xiangshui,26.5964,104.8314,China
Dadukou,26.5849,101.7149,China
Vila Velha,3.2167,-51.2167,Brazil
Chelyabinsk,55.1500,61.4000,Russia
Mombasa,-4.0500,39.6667,Kenya
Providence,41.8230,-71.4187,United States
Varanasi,25.3189,83.0128,India
Qom,34.6400,50.8764,Iran
Zhangye,38.9355,100.4553,China
Hiroshima,34.4000,132.4500,Japan
Maiduguri,11.8333,13.1500,Nigeria
Maputo,-25.9153,32.5764,Mozambique
Doha,25.3000,51.5333,Qatar
Rosario,-32.9575,-60.6394,Argentina
Pikine,14.7500,-17.4000,Senegal
Xinyu,27.7950,114.9242,China
Ahvaz,31.3203,48.6692,Iran
Jacksonville,30.3322,-81.6749,United States
Medina,24.4667,39.6000,Saudi Arabia
Srinagar,34.0911,74.8061,India
Omsk,54.9667,73.3833,Russia
Liaoyuan,42.8976,125.1381,China
Cilacap,-7.7167,109.0170,Indonesia
Yingtan,28.2333,117.0000,China
Bandar Lampung,-5.4294,105.2625,Indonesia
Samara,53.1833,50.1167,Russia
Guankou,28.2363,113.6984,China
Ulsan,35.5500,129.3167,South Korea
Dingzhou,38.5158,114.9845,China
Campinas,-22.9009,-47.0573,Brazil
Lianyuan,27.6961,111.6659,China
Dakar,14.7319,-17.4572,Senegal
Rongcheng,29.8239,112.9019,China
Kaiyuan,36.0656,113.8153,China
Nay Pyi Taw,19.7475,96.1150,Myanmar
Kigali,-1.9536,30.0606,Rwanda
Leiyang,26.4179,112.8457,China
Yichun,47.7235,128.8893,China
Benin City,6.3176,5.6145,Nigeria
Birmingham,52.4800,-1.9025,United Kingdom
Xiantao,30.3833,113.4000,China
Amritsar,31.6269,74.8770,India
Callao,-12.0611,-77.1333,Peru
Monterrey,25.6667,-100.3000,Mexico
Aligarh,27.8800,78.0800,India
Yingchuan,34.1511,113.4733,China
Ciudad Nezahualcoyotl,19.4100,-99.0300,Mexico
Tripoli,32.8752,13.1875,Libya
Nampo,38.7689,125.4505,North Korea
Rostov,47.2333,39.7167,Russia
Tegucigalpa,14.0942,-87.2067,Honduras
Tbilisi,41.7225,44.7925,Georgia
Guwahati,26.1722,91.7458,India
Ufa,54.7261,55.9475,Russia
Fes,34.0433,-5.0033,Morocco
Bien Hoa,10.9508,106.8221,Vietnam
N'Djamena,12.1100,15.0500,Chad
Ikare,7.5304,5.7600,Nigeria
Salt Lake City,40.7777,-111.9306,United States
Bhilai,21.2186,81.4314,India
Haora,22.5736,88.3251,India
Tamale,9.4075,-0.8533,Ghana
Xibeijie,39.7370,98.5049,China
Copenhagen,55.6805,12.5615,Denmark
Nezahualcoyotl,19.4000,-98.9889,Mexico
Hanchuan,30.6520,113.8274,China
Gongzhuling,43.5036,124.8088,China
Krasnoyarsk,56.0089,92.8719,Russia
Cologne,50.9422,6.9578,Germany
Yicheng,31.3697,119.8239,China
Zhufeng,36.0000,119.4167,China
Sao Goncalo,-22.8269,-43.0539,Brazil
Nashville,36.1715,-86.7843,United States
Yerevan,40.1814,44.5144,Armenia
Nur-Sultan,51.1333,71.4333,Kazakhstan
Nouakchott,18.0858,-15.9785,Mauritania
Vereeniging,-26.6736,27.9319,South Africa
Richmond,37.5295,-77.4756,United States
Sao Luis,-2.5300,-44.3028,Brazil
Ranchi,23.3556,85.3347,India
San Pedro Sula,15.5000,-88.0333,Honduras
Taixing,32.1724,120.0142,China
Gwalior,26.2150,78.1931,India
Memphis,35.1046,-89.9773,United States
Goyang,37.6564,126.8350,South Korea
Bezwada,16.5167,80.6167,India
Edmonton,53.5344,-113.4903,Canada
Bishkek,42.8667,74.5667,Kyrgyzstan
Mizhou,35.9900,119.3801,China
Tunis,36.8008,10.1800,Tunisia
Xishan,27.6609,113.4946,China
Ezhou,30.3972,114.8842,China
Barquisimeto,10.0678,-69.3467,Venezuela
Sendai,38.2683,140.8694,Japan
Hegang,47.3139,130.2775,China
Kathmandu,27.7167,85.3667,Nepal
Mexicali,32.6633,-115.4678,Mexico
Voronezh,51.6717,39.2106,Russia
Perm,58.0139,56.2489,Russia
Changwon,35.2281,128.6811,South Korea
Zhongwei,37.5139,105.1884,China
Shouguang,36.8833,118.7333,China
Bogor,-6.5917,106.8000,Indonesia
Raleigh,35.8325,-78.6435,United States
Cartagena,10.4236,-75.5253,Colombia
Chandigarh,30.7353,76.7911,India
Matola,-25.9667,32.4667,Mozambique
Jodhpur,26.2944,73.0278,India
Ogbomoso,8.1333,4.2500,Nigeria
Shymkent,42.3000,69.6000,Kazakhstan
Niamey,13.5086,2.1111,Niger
Taizhou,28.6583,121.4221,China
Managua,12.1500,-86.2667,Nicaragua
Bagam,1.0678,104.0167,Indonesia
Shubra al Khaymah,30.1286,31.2422,Egypt
Maceio,-9.6658,-35.7350,Brazil
Monrovia,6.3106,-10.8047,Liberia
Wafangdian,39.6271,121.9972,China
Zhongxiang,31.1690,112.5853,China
Odesa,46.4775,30.7326,Ukraine
Port-au-Prince,18.5425,-72.3386,Haiti
New Orleans,30.0687,-89.9288,United States
Villahermosa,17.9892,-92.9281,Mexico
Thu Duc,10.7924,106.7518,Vietnam
Volgograd,48.7086,44.5147,Russia
Mysore,12.3086,76.6531,India
Islamabad,33.6989,73.0369,Pakistan
Xinyi,22.3559,110.9369,China
Raipur,21.2379,81.6337,India
Arequipa,-16.3988,-71.5369,Peru
Port Harcourt,4.7500,7.0000,Nigeria
Louisville,38.1663,-85.6485,United States
Zaoyang,32.1287,112.7581,China
Shuizhai,33.4433,114.8994,China
Xingyi,25.0910,104.9011,China
Kota,25.1800,75.8300,India
Quetta,30.1920,67.0070,Pakistan
Ottawa,45.4247,-75.6950,Canada
Stockholm,59.3294,18.0686,Sweden
Asmara,15.3333,38.9167,Eritrea
Freetown,8.4833,-13.2331,Sierra Leone
Vientiane,17.9667,102.6000,Laos
